ID,Name,Category,Price,Rarity,ContestEffect,Description
0001,Ability Capsule,Held Item,3000,Rare,Coolness +7,Allows Pokémon to switch abilities during performance
0002,Ability Patch,Held Item,4500,Epic,Beauty +10,Unlocks Hidden Abilities for contests
0003,Ability Shield,Held Item,1500,Rare,Toughness +5,Protects ability from being changed
0004,Ability Urge,Berry,800,Uncommon,Smartness +8,Reactivates ability effects mid-performance
0005,Abomasite,Mega Stone,10000,Legendary,Coolness +15,Enables Mega Evolution for Abomasnow
0006,Abra Candy,Treat,300,Common,Smartness +3,Boosts accuracy of psychic moves
0007,Absolite,Mega Stone,10000,Legendary,Coolness +12,Enables Mega Evolution for Absol
0008,Absorb Bulb,Held Item,1200,Rare,Beauty +6,Powers up grass moves when hit by water
0009,Academy Ball,Ball,600,Common,Beauty +4,Releases colorful confetti when used
0010,Academy Bottle,Decoration,800,Uncommon,Beauty +5,Enhances water-based moves
0011,Academy Chair,Decoration,1000,Rare,Cuteness +7,Improves seated performances
0012,Academy Cup,Decoration,1500,Uncommon,Smartness +8,Boosts stats when behind
0013,Academy Tablecloth,Decoration,2000,Rare,Beauty +10,Allows quick stage changes
0014,Acro Bike,Key Item,5000,Uncommon,Coolness +12,Enables acrobatic performances
0015,Adamant Crystal,Held Item,15000,Mythic,Toughness +20,Boosts Dialga's physical moves
0016,Adamant Mint,Berry,500,Common,Toughness +5,Strengthens Adamant nature
0017,Adamant Orb,Held Item,10000,Legendary,Smartness +15,Enhances steel/dragon moves
0018,Adrenaline Orb,Battle Item,800,Uncommon,Coolness +8,Boosts speed when intimidated
0019,Adventure Rules,Tool,400,Common,Smartness +6,Guides performance structure
0020,Adventure Guide,Tool,300,Common,Smartness +7,Adds storytelling elements
0021,Aerodactylite,Mega Stone,10000,Legendary,Coolness +14,Enables Mega Evolution for Aerodactyl
0022,Aerodactyl Candy,Treat,400,Uncommon,Toughness +4,Improves rock/flying moves
0023,Aggronite,Mega Stone,10000,Legendary,Toughness +13,Enables Mega Evolution for Aggron
0024,Aguav Berry,Berry,200,Common,Beauty +5,Reduces water damage and adds beauty
0025,Air Balloon,Held Item,500,Uncommon,Beauty +6,Adds floating elegance
